location,bedrooms,bath,size,price
"Sector13,Uttara,Dhaka",3,3,1400,25
"Farmgate,Tejgaon,Dhaka",2,2,900,20
"BlockB,NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1250,18
"BlockH,BashundharaR-A,Dhaka",3,3,1600,20
"Gulshan1,Gulshan,Dhaka",6,8,6400,3
"BlockF,BashundharaR-A,Dhaka",3,3,1650,33
"Gulshan1,Gulshan,Dhaka",3,4,2200,75
"Baridhara,Dhaka",3,3,2200,75
"BashundharaR-A,Dhaka",4,5,3000,50
"Kallyanpur,Mirpur,Dhaka",3,3,1500,17
"Baridhara,Dhaka",3,3,2300,75
"BlockK,SouthBanasreeProject,Banasree,Dhaka",3,2,1250,25
"Shantibag,Malibagh,Dhaka",3,3,1100,25
"Sector6,Uttara,Dhaka",3,3,1850,40
"Jigatola,Hazaribag,Dhaka",3,3,1600,28
"WestKazipara,Mirpur,Dhaka",3,3,1150,19
"BlockD,BashundharaR-A,Dhaka",3,3,1300,60
"Nikunja2,Nikunja,Dhaka",2,2,750,16
"MiddleMonipur,Mirpur,Dhaka",3,3,1250,16
"PCCultureHousing,Mohammadpur,Dhaka",2,2,950,14
"BaridharaDOHS,Dhaka",3,3,1300,35
"BlockD,BashundharaR-A,Dhaka",3,3,1300,40
"EastRampura,Rampura,Dhaka",3,3,1565,20
"BlockD,BashundharaR-A,Dhaka",3,3,1300,35
"Khilgaon,Dhaka",3,3,1200,18
"Mirpur,Dhaka",3,4,1425,20
"BlockD,BashundharaR-A,Dhaka",3,3,1300,40
"Sector4,Uttara,Dhaka",3,3,1500,32
"BlockK,Baridhara,Dhaka",4,4,3000,1.6
"BlockD,BashundharaR-A,Dhaka",3,4,2100,40
"Gulshan1,Gulshan,Dhaka",4,4,3500,2
"Baridhara,Dhaka",3,3,1524,1
"PCCultureHousing,Mohammadpur,Dhaka",3,3,1150,19
"Sector9,Uttara,Dhaka",3,4,1500,35
"Ibrahimpur,Dhaka",3,3,1050,25
"Ibrahimpur,Dhaka",3,3,1050,25
"Sector5,Uttara,Dhaka",3,2,1400,30
"Rajabazar,Tejgaon,Dhaka",2,2,650,18
"Gulshan1,Gulshan,Dhaka",3,3,2100,70
"BlockF,BashundharaR-A,Dhaka",2,2,900,19
"BlockD,BashundharaR-A,Dhaka",3,3,1300,60
"BlockD,BashundharaR-A,Dhaka",3,3,1300,40
"BlockG,BashundharaR-A,Dhaka",3,4,1750,30
"NurerChala,Badda,Dhaka",2,2,800,18.63
"Khilgaon,Dhaka",3,2,1100,19
"Sector9,Uttara,Dhaka",2,2,850,25
"Sector3,Uttara,Dhaka",3,3,2000,80
"Sector14,Uttara,Dhaka",3,4,1400,32
"BlockD,Section12,Mirpur,Dhaka",2,2,650,10
"EastRampura,Rampura,Dhaka",3,3,1380,18
"EastRampura,Rampura,Dhaka",3,3,1565,20
"EastRampura,Rampura,Dhaka",3,3,1380,18
"Gulshan2,Gulshan,Dhaka",3,3,1600,50
"Sector11,Uttara,Dhaka",3,4,1617,30
"Sector7,Uttara,Dhaka",3,3,1350,27
"BaitulAmanHousingSociety,Adabor,Dhaka",3,2,1200,20
"Sector10,Uttara,Dhaka",3,4,1900,50
"Banani,Dhaka",3,4,2600,75
"EastRampura,Rampura,Dhaka",2,2,1075,16
"EastRampura,Rampura,Dhaka",2,2,800,14
"Banani,Dhaka",3,3,1650,40
"Sector10,Uttara,Dhaka",3,3,1500,24
"BlockA,BashundharaR-A,Dhaka",3,4,1860,38
"EastRampura,Rampura,Dhaka",3,3,1565,20
"EastRampura,Rampura,Dhaka",3,3,1565,20
"EastRampura,Rampura,Dhaka",2,2,1075,16
"EastRampura,Rampura,Dhaka",3,3,1380,18
"BlockD,BashundharaR-A,Dhaka",3,3,1300,60
"WestMalibag,Malibagh,Dhaka",2,2,950,19
"BlockA,SatMasjidHousing,Mohammadpur,Dhaka",2,3,900,16
"Banani,Dhaka",3,4,2200,80
"Gulshan2,Gulshan,Dhaka",4,4,3200,1.2
"Kakrail,Dhaka",3,4,1895,40
"Gulshan2,Gulshan,Dhaka",4,4,3000,2
"EastRampura,Rampura,Dhaka",2,2,1075,16
"Eskaton,Dhaka",3,2,1200,27
"BlockG,BashundharaR-A,Dhaka",3,3,1400,28
"Sector11,Uttara,Dhaka",2,2,950,17.5
"EastRampura,Rampura,Dhaka",3,3,1380,18
"BlockJ,BashundharaR-A,Dhaka",3,2,1000,18
"BlockI,BashundharaR-A,Dhaka",3,4,1500,25
"BlockD,BashundharaR-A,Dhaka",3,4,2100,40
"Malibagh,Dhaka",3,3,1360,30
"Malibagh,Dhaka",3,3,1300,30
"BlockF,BashundharaR-A,Dhaka",3,4,1800,30
"BlockJ,BashundharaR-A,Dhaka",3,2,1000,18
"Maghbazar,Dhaka",2,2,1058,28
"BlockD,BashundharaR-A,Dhaka",3,3,1300,60
"Sector14,Uttara,Dhaka",3,3,1000,18
"MohammadiHousingLTD.,Mohammadpur,Dhaka",3,3,1000,20
"NayaPaltan,Motijheel,Dhaka",3,3,900,30
"BlockF,BashundharaR-A,Dhaka",3,4,1600,30
"BlockD,Banasree,Dhaka",3,3,1250,25
"Sector5,Uttara,Dhaka",2,2,1000,20
"BlockIExtension,BashundharaR-A,Dhaka",3,4,2420,45
"Sector10,Uttara,Dhaka",3,3,1500,25
"WestKalachandpur,Kalachandpur,Dhaka",2,2,900,16
"BlockD,BashundharaR-A,Dhaka",3,3,1300,40
"Banani,Dhaka",8,8,8000,8
"BlockF,BashundharaR-A,Dhaka",3,4,1500,30
"Gulshan1,Gulshan,Dhaka",3,4,3680,1.8
"BlockD,BashundharaR-A,Dhaka",3,3,1300,35
"Sector3,Uttara,Dhaka",3,3,1650,35
"WestDhanmondiandShangkar,Dhanmondi,Dhaka",3,2,1000,18
"Sector5,Uttara,Dhaka",3,3,2150,50
"Badda,Dhaka",3,3,1250,25
"BlockK,BashundharaR-A,Dhaka",3,3,1200,20
"Mohammadpur,Dhaka",3,3,2700,60
"EastBadda,Badda,Dhaka",3,3,1200,20
"BlockA,SatMasjidHousing,Mohammadpur,Dhaka",2,3,850,14
"Sector14,Uttara,Dhaka",2,2,850,20
"Banani,Dhaka",3,4,1550,55
"OldEskaton,Eskaton,Dhaka",3,3,2000,50
"KamalSarani,SouthPirerbag,Pirerbag,Mirpur,Dhaka",2,2,800,13
"2ndColony,Mirpur,Dhaka",3,4,1550,25
"Sector3,Uttara,Dhaka",3,3,1540,30
"BlockC,Khilgaon,Dhaka",3,3,1800,32
"Gulshan1,Gulshan,Dhaka",5,5,5800,2.6
"Mohammadpur,Dhaka",2,2,720,15
"BlockA,SatMasjidHousing,Mohammadpur,Dhaka",2,2,850,15
"Gulshan2,Gulshan,Dhaka",3,3,2405,1.35
"Banani,Dhaka",4,4,3245,1.1
"Banani,Dhaka",4,4,3245,1.1
"Banani,Dhaka",4,4,3245,1.1
"BlockG,BashundharaR-A,Dhaka",2,2,1300,24.76
"BlockA,Niketan,Dhaka",3,3,1570,35
"Gulshan1,Gulshan,Dhaka",3,3,2400,1
"BlockB,Niketan,Dhaka",3,3,1450,54
"BlockG,BashundharaR-A,Dhaka",4,3,2300,32
"BlockI,BashundharaR-A,Dhaka",3,3,1500,27
"BlockK,Baridhara,Dhaka",3,3,3000,95
"BlockB,BashundharaR-A,Dhaka",3,4,1900,40
"BlockH,Banasree,Dhaka",4,3,1600,30
"Gulshan1,Gulshan,Dhaka",3,3,2200,55
"Gulshan1,Gulshan,Dhaka",3,3,2350,50
"Section1,Mirpur,Dhaka",3,3,1200,15
"NurerChala,Badda,Dhaka",3,3,1100,18
"Sector14,Uttara,Dhaka",2,2,900,15
"Mirpur,Dhaka",3,3,1180,17
"Dhanmondi,Dhaka",3,4,2000,55
"BlockH,Banasree,Dhaka",4,4,1800,31
"MollikaR/A,Section7,Mirpur,Dhaka",3,2,1050,17
"Sector4,Uttara,Dhaka",1,1,500,15
"Baridhara,Dhaka",3,3,1524,1
"Dhanmondi,Dhaka",3,3,1800,50
"BlockG,BashundharaR-A,Dhaka",2,2,800,22
"BlockC,Section13,Mirpur,Dhaka",3,2,745,15
"BlockG,BashundharaR-A,Dhaka",2,2,1000,20
"BlockB,NobodoyHousingSociety,Mohammadpur,Dhaka",3,2,1050,16
"Sector14,Uttara,Dhaka",1,1,700,10
"EastMonipur,Mirpur,Dhaka",2,2,950,15
"Nikunja2,Nikunja,Dhaka",2,2,720,15.5
"BlockA,SatMasjidHousing,Mohammadpur,Dhaka",2,3,850,15
"Gulshan2,Gulshan,Dhaka",3,3,1654,80
"Agargaon,Dhaka",2,2,900,16
"Sector12,Uttara,Dhaka",3,4,1400,25
"Gulshan1,Gulshan,Dhaka",4,4,2750,90
"Mohammadpur,Dhaka",3,2,950,19
"Sector5,Uttara,Dhaka",2,3,950,26
"Mohammadpur,Dhaka",3,3,1200,20
"Gulshan2,Gulshan,Dhaka",5,5,4137,2.2
"BlockF,BashundharaR-A,Dhaka",5,6,2800,75
"Banani,Dhaka",4,5,2960,1.1
"MohammadiHousingLTD.,Mohammadpur,Dhaka",3,3,1300,20
"BlockD,BashundharaR-A,Dhaka",3,4,1600,30
"BlockD,BashundharaR-A,Dhaka",3,3,1300,60
"BlockK,Baridhara,Dhaka",3,4,3000,2.4
"Sector9,Uttara,Dhaka",3,4,1400,30
"Sector12,Uttara,Dhaka",3,4,1770,30
"Sector11,Uttara,Dhaka",2,2,900,20
"Lalmatia,Dhaka",3,4,1250,30
"MiddlePirerbag,Pirerbag,Mirpur,Dhaka",3,2,1050,15
"BlockC,BashundharaR-A,Dhaka",3,4,1900,35
"Gulshan1,Gulshan,Dhaka",3,3,1650,50
"BlockF,BashundharaR-A,Dhaka",4,3,2359,55
"BlockB,BashundharaR-A,Dhaka",3,4,2025,45
"Gulshan1,Gulshan,Dhaka",3,3,2000,90
"Gulshan1,Gulshan,Dhaka",3,3,2000,90
"MiddleMonipur,Mirpur,Dhaka",3,3,1250,16
"Monipuripara,Tejgaon,Dhaka",4,4,2200,60
"BlockG,BashundharaR-A,Dhaka",3,3,1600,25
"BlockA,BashundharaR-A,Dhaka",2,1,600,27
"NewEskaton,Eskaton,Dhaka",3,3,1300,25
"BlockI,BashundharaR-A,Dhaka",3,3,1500,26
"PCCultureHousing,Mohammadpur,Dhaka",3,3,1000,24
"Sector10,Uttara,Dhaka",2,2,850,14
"BlockD,BashundharaR-A,Dhaka",3,3,1650,35
"BlockD,BashundharaR-A,Dhaka",3,3,2100,42
"Tejgaon,Dhaka",2,2,600,17
"BlockF,azizMoholla,Mohammadpur,Dhaka",2,2,650,16
"Niketan,Dhaka",3,3,2021,50
"Sector13,Uttara,Dhaka",4,4,2600,65
"BlockD,BashundharaR-A,Dhaka",3,3,1300,60
"Mohammadpur,Dhaka",4,4,2082,45
"BashundharaR-A,Dhaka",3,3,1350,30
"BlockD,BashundharaR-A,Dhaka",3,4,1550,36
"BlockA,Section11,Mirpur,Dhaka",3,2,1057,18
"Gulshan2,Gulshan,Dhaka",3,4,3000,1.5
"Sector10,Uttara,Dhaka",3,3,1800,35
"MiddlePirerbag,Pirerbag,Mirpur,Dhaka",3,2,1050,15
"WestDhanmondiandShangkar,Dhanmondi,Dhaka",3,3,1200,20
"EastRampura,Rampura,Dhaka",2,2,800,13
"Gulshan2,Gulshan,Dhaka",4,4,3500,2.75
"Gulshan2,Gulshan,Dhaka",4,4,2100,1
"MohammadiHousingLTD.,Mohammadpur,Dhaka",3,3,1200,18
"EastBashabo,Bashabo,Dhaka",2,1,700,8.5
"Sector11,Uttara,Dhaka",3,3,2000,40
"Nikunja2,Nikunja,Dhaka",3,3,1600,60
"MiddlePaikpara,Mirpur,Dhaka",3,3,1600,15
"BlockG,BashundharaR-A,Dhaka",3,3,2250,75
"PCCultureHousing,Mohammadpur,Dhaka",2,2,720,15
"BlockC,Khilgaon,Dhaka",3,3,1800,32
"Baridhara,Dhaka",4,4,3400,1.5
"Pirerbag,Mirpur,Dhaka",3,2,1000,14.5
"BlockB,BashundharaR-A,Dhaka",3,3,1600,42
"BlockD,BashundharaR-A,Dhaka",2,2,1100,1.4
"Sector11,Uttara,Dhaka",3,4,1550,26
"BashundharaR-A,Dhaka",3,3,1350,30
"Rajabazar,Tejgaon,Dhaka",3,4,1750,33
"1stColony,Mirpur,Dhaka",3,3,1200,16
"Sector3,Uttara,Dhaka",3,3,1890,38
"BlockD,BashundharaR-A,Dhaka",3,3,1300,35
"Tejgaon,Dhaka",1,1,400,13
"BlockD,BashundharaR-A,Dhaka",3,2,1250,24
"Sector5,Uttara,Dhaka",3,3,1300,60
"Sector3,Uttara,Dhaka",3,4,1530,33.5
"Shantibag,Malibagh,Dhaka",2,1,600,15
Dhaka,4,5,3600,40
"Gulshan2,Gulshan,Dhaka",3,3,2400,1.2
"Sector4,Uttara,Dhaka",2,3,1350,25
"BaridharaDOHS,Dhaka",3,3,1250,45
"DhakaRealEstate,Katashur,Mohammadpur,Dhaka",2,2,700,15
"BlockA,KaderabadHousingSociety,Bosila,Mohammadpur,Dhaka",3,3,1500,25
"DhakaRealEstate,Katashur,Mohammadpur,Dhaka",2,2,750,15
"BlockA,Section11,Mirpur,Dhaka",3,2,1057,18
"Gulshan1,Gulshan,Dhaka",4,4,2800,70
"BashundharaR-A,Dhaka",3,3,1350,30
"BlockD,BashundharaR-A,Dhaka",3,3,1300,40
"Baridhara,Dhaka",4,4,4200,4
"Baridhara,Dhaka",4,4,4200,4
"BlockA,Section11,Mirpur,Dhaka",3,2,1057,18
"BlockD,BashundharaR-A,Dhaka",3,4,2250,35
"Dhanmondi,Dhaka",5,5,3100,90
"Dolipara,Uttara,Dhaka",5,5,1800,35
"Lalmatia,Dhaka",2,2,1200,30
"Lalmatia,Dhaka",2,2,1200,30
"Sector12,Uttara,Dhaka",1,1,500,11
"Sector3,Uttara,Dhaka",2,3,1200,20
"EastGoran,Goran,Khilgaon,Dhaka",2,2,900,12
"Sector4,Uttara,Dhaka",3,3,1500,35
"Sector11,Uttara,Dhaka",2,2,900,17
"BlockD,Section2,Mirpur,Dhaka",2,1,800,15
"Sector4,Uttara,Dhaka",3,2,1500,25
"Pirerbag,Mirpur,Dhaka",3,3,1200,15
"BlockC,Section2,Mirpur,Dhaka",3,4,1612,25
"BlockH,BashundharaR-A,Dhaka",3,3,1600,22
"Gulshan2,Gulshan,Dhaka",4,4,2800,2.5
"BaitulAmanHousingSociety,Adabor,Dhaka",3,2,1050,15.5
"Nayatola,Maghbazar,Dhaka",2,2,550,13
"Gulshan1,Gulshan,Dhaka",3,3,1650,55
"Banani,Dhaka",3,3,1650,60
"BlockB,NobodoyHousingSociety,Mohammadpur,Dhaka",3,2,1050,16
"Dhanmondi,Dhaka",3,3,2200,60
"BlockA,Banasree,Dhaka",2,2,850,15
"BaridharaDOHS,Dhaka",3,4,1385,40
"Sector12,Uttara,Dhaka",2,2,900,17
"Taltola,Khilgaon,Dhaka",2,1,550,11
"Sector13,Uttara,Dhaka",2,2,800,18
"Banani,Dhaka",3,3,1800,70
"Baridhara,Dhaka",4,5,5500,3.5
"Gulshan2,Gulshan,Dhaka",3,3,2200,85
"Faydabad,DakshinKhan,Dhaka",4,3,2400,30
"BlockB,BashundharaR-A,Dhaka",3,3,2500,80
"SouthMonipur,Mirpur,Dhaka",3,2,850,13
"BaitulAmanHousingSociety,Adabor,Dhaka",2,1,550,8.5
"BlockC,AftabNagar,Dhaka",3,3,1700,52.5
"UttarBadda,Badda,Dhaka",3,3,1393,18
"BaitulAmanHousingSociety,Adabor,Dhaka",1,1,400,5
"Gulshan2,Gulshan,Dhaka",3,3,2200,70
"Mohammadpur,Dhaka",2,2,600,18
"DhakaRealEstate,Katashur,Mohammadpur,Dhaka",3,3,1500,27
"Eskaton,Dhaka",3,3,1900,45
"Shyamoli,Dhaka",3,3,1400,25
"Banani,Dhaka",4,4,3000,1
"Baridhara,Dhaka",3,3,2700,1.4
"BlockC,BashundharaR-A,Dhaka",3,3,1410,28
"Sector5,Uttara,Dhaka",3,3,1600,40
"BlockJ,BashundharaR-A,Dhaka",3,3,1200,25
"Sector5,Uttara,Dhaka",3,3,1600,40
"Sector4,Uttara,Dhaka",3,4,1600,80
"Section2,Mirpur,Dhaka",3,3,1400,25
"BlockF,BashundharaR-A,Dhaka",4,5,2700,39
"BlockB,BashundharaR-A,Dhaka",3,4,2000,60
"ChandmiyaHousing,Mohammadpur,Dhaka",2,2,1050,14
"Sector5,Uttara,Dhaka",2,2,1050,20
"BlockC,AftabNagar,Dhaka",2,2,1050,16
"Banani,Dhaka",3,3,2600,1
"Sector12,Uttara,Dhaka",3,3,1665,35
"Eskaton,Dhaka",3,3,1350,30
"BlockD,BashundharaR-A,Dhaka",3,3,1450,25
"Eskaton,Dhaka",3,4,1760,35
"Gulshan2,Gulshan,Dhaka",4,4,3000,1.5
"Kakrail,Dhaka",3,3,1400,35
"Lalmatia,Dhaka",2,2,1000,26
"Sector11,Uttara,Dhaka",3,3,1750,26
"Lalmatia,Dhaka",3,4,1360,30
"EastMerulBadda,MerulBadda,Badda,Dhaka",2,2,870,14
"Baridhara,Dhaka",2,3,1500,1.15
"BlockG,BashundharaR-A,Dhaka",4,4,2100,54
"Sector7,Uttara,Dhaka",4,4,2800,90
"Sector6,Uttara,Dhaka",3,3,1300,40
"Sector11,Uttara,Dhaka",3,4,1600,50
"Baridhara,Dhaka",3,4,3000,2.15
"BlockC,BashundharaR-A,Dhaka",6,7,5200,4
"Sector4,Uttara,Dhaka",4,4,2600,75
"Baridhara,Dhaka",5,6,7000,7.5
"Baridhara,Dhaka",4,4,3200,2
"Sector6,Uttara,Dhaka",3,3,1300,30
"Baridhara,Dhaka",2,2,1800,1.2
"Mohammadpur,Dhaka",1,1,550,12.5
"Sector6,Uttara,Dhaka",3,4,2000,55
"Baridhara,Dhaka",4,4,3750,3
"MohammadiaHousingSociety,Mohammadpur,Dhaka",3,4,2000,30
"Gulshan1,Gulshan,Dhaka",3,3,2200,50
